,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
0,1.0,139.0568125,1.32191875,2.7095149999999997,0.012800625,0.6465406250000001,0.6294575,0.626835,0.26754,1.26995125,1.848691875,0.019675625,0.00998211,0.00332737,0.00998211,0.00332737,0.00998211,0.00332737,0.00998211,0.00332737
1,2.0,253.00600000000003,1.247514375,1.6288512499999999,0.01197625,0.6954075,0.6462075,0.6865987499999999,0.29543625,1.295605625,1.485105625,0.02072125,0.0198832,0.00662773,0.0198832,0.00662773,0.0198832,0.00662773,0.0198832,0.00662773
2,3.0,358.50256249999995,1.26997625,1.4837462499999998,0.01232625,0.668100625,0.6566387499999999,0.666413125,0.28534125,1.360834375,1.697073125,0.021871875,0.0296853,0.0098951,0.0296853,0.0098951,0.0296853,0.0098951,0.0296853,0.0098951
3,4.0,460.413125,1.275801875,1.4437668750000001,0.012514375000000001,0.6731143749999999,0.6662137499999999,0.6745268750000001,0.257071875,1.392503125,1.67998,0.022093125,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
4,5.0,562.3289374999999,1.260448125,1.390888125,0.0121575,0.697675625,0.669391875,0.70262625,0.285335625,1.3383675,1.4228368749999998,0.021191250000000002,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,6.0,664.6675625,1.2410706249999999,1.3574925000000002,0.011995625,0.719001875,0.67924625,0.719051875,0.3156775,1.305633125,1.38954,0.0210175,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
6,7.0,766.6754375,1.22858,1.319505,0.011860625,0.7362175,0.7018424999999999,0.7418374999999999,0.34380375,1.284395,1.290005625,0.0206125,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
7,8.0,868.9955,1.217735625,1.30714,0.011725,0.722005625,0.692979375,0.7336518750000001,0.31794,1.3108,1.311720625,0.021303125,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
8,9.0,970.7069375000001,1.2049406249999999,1.287388125,0.01167875,0.74063875,0.720303125,0.7629125000000001,0.3524125,1.276184375,1.224495625,0.020436250000000003,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
9,10.0,1072.2675,1.203741875,1.26826375,0.011579375,0.748933125,0.720795625,0.7637637500000001,0.356450625,1.2640393749999999,1.2341499999999999,0.020146875,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
10,11.0,1174.135625,1.19342375,1.256271875,0.011456250000000001,0.713860625,0.67897125,0.710164375,0.275856875,1.354866875,1.31695875,0.021658125,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
11,12.0,1276.1925,1.1863337500000002,1.238581875,0.01134,0.73720125,0.732074375,0.7648306250000001,0.3663875,1.26029,1.214325,0.0201475,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
12,13.0,1379.0075000000002,1.1824193749999998,1.23216375,0.0112725,0.748290625,0.721348125,0.7685206250000001,0.36345125,1.256270625,1.20832625,0.019874375,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
13,14.0,1481.998125,1.171928125,1.212480625,0.0112225,0.750421875,0.7268756249999999,0.7704093750000001,0.37077062499999996,1.242083125,1.2191375,0.020063749999999998,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
14,15.0,1584.4025000000001,1.16436625,1.202965,0.011206875,0.7467293749999999,0.736435,0.7745318750000001,0.374675,1.2319637500000002,1.195909375,0.019418125,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
15,16.0,1686.525625,1.1678881250000002,1.2088575000000001,0.011209375,0.7481037500000001,0.72561875,0.76596,0.3498175,1.2721512499999998,1.195595,0.020240625,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
16,17.0,1788.6574999999998,1.15971,1.181420625,0.011126875000000001,0.764516875,0.7178556250000001,0.7712831250000001,0.369698125,1.253269375,1.1861606249999999,0.02023125,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
17,18.0,1890.78625,1.1593262500000001,1.18827625,0.011219375,0.7577581250000001,0.7410418750000001,0.783875,0.3768575,1.23524875,1.164131875,0.019435624999999998,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
18,19.0,1992.6812499999999,1.157364375,1.17587,0.01103875,0.7462737500000001,0.7415975,0.7749406249999999,0.35879,1.267779375,1.1710737500000001,0.020196875000000003,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
19,20.0,2095.1075,1.1510224999999998,1.1638768750000001,0.011004375,0.7621025,0.757765625,0.7954987499999999,0.39049124999999996,1.2179975,1.1011743749999998,0.019123750000000002,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
20,21.0,2197.38,1.144786875,1.15378875,0.0109125,0.76893375,0.748991875,0.792775,0.39207375,1.214193125,1.0968481250000002,0.019074375,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
21,22.0,2299.35,1.141111875,1.1463831249999998,0.010780000000000001,0.769923125,0.74871625,0.797238125,0.3977575,1.197498125,1.1174075,0.018916875,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
22,23.0,2401.370625,1.1389218749999999,1.1418531250000001,0.0107775,0.781738125,0.747754375,0.79992,0.397971875,1.210376875,1.0914375,0.019196249999999998,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
23,24.0,2503.54125,1.133468125,1.136911875,0.010796875000000001,0.7810718750000001,0.7536849999999999,0.8030656249999999,0.40213125000000005,1.18895375,1.072565625,0.01862625,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
24,25.0,2605.04625,1.13534875,1.131001875,0.010838750000000001,0.772510625,0.76261625,0.80225125,0.402209375,1.1946581250000001,1.07698625,0.018799999999999997,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
25,26.0,2706.7675,1.1290475,1.1182050000000001,0.010661875000000001,0.775396875,0.752086875,0.8020525000000001,0.40224875,1.195275,1.083094375,0.018883125,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
26,27.0,2808.82375,1.1243656249999998,1.109734375,0.010720625,0.7756000000000001,0.757420625,0.802759375,0.398636875,1.199071875,1.051081875,0.018750625,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
27,28.0,2910.23875,1.125531875,1.108730625,0.010658125000000001,0.7906299999999999,0.75366625,0.80918625,0.41148874999999996,1.181295,1.0400568749999999,0.018590000000000002,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
28,29.0,3011.85375,1.11787,1.099304375,0.010543750000000001,0.7798625,0.76186625,0.808041875,0.408491875,1.17829,1.0501650000000002,0.018478750000000002,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
29,30.0,3113.225625,1.1145218749999999,1.09350375,0.010588750000000001,0.7914356250000001,0.758551875,0.812373125,0.4162425,1.1675368750000001,1.036453125,0.018181875,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
30,31.0,3215.05375,1.1108856249999999,1.0782462499999999,0.010403125,0.78593875,0.758116875,0.812145625,0.410005625,1.1692568749999999,1.0257625,0.0182075,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
31,32.0,3316.873125,1.106845625,1.069204375,0.010365625,0.7979387499999999,0.7603087500000001,0.815265625,0.4185175,1.15899,1.022215,0.017964375,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
32,33.0,3418.498125,1.105454375,1.075000625,0.010324375,0.794268125,0.770219375,0.819930625,0.42041375000000003,1.165090625,0.98921875,0.018065625000000002,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
33,34.0,3520.10875,1.103208125,1.06609875,0.01038875,0.792344375,0.764195,0.820530625,0.41830375,1.1639525000000002,0.9907600000000001,0.018123125,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
34,35.0,3620.270625,1.09804,1.057776875,0.0102825,0.786741875,0.778534375,0.82433125,0.423725625,1.152760625,1.009190625,0.017890625,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
35,36.0,3719.3493750000002,1.09887375,1.0490724999999999,0.010371875,0.7977387499999999,0.773268125,0.8252962500000001,0.42523124999999995,1.1522450000000002,0.9770168749999999,0.017784375,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
36,37.0,3818.0012500000003,1.0939831249999998,1.04585875,0.010374375,0.809704375,0.7716225000000001,0.82852375,0.4336925,1.1382425,0.9535606249999999,0.017648749999999998,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
37,38.0,3916.879375,1.09139125,1.03853375,0.01027875,0.8053300000000001,0.778975,0.832458125,0.43474124999999997,1.1411924999999998,0.9402524999999999,0.017633125,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
38,39.0,4015.8931249999996,1.090473125,1.031728125,0.010200625,0.79619,0.78056875,0.8284381249999999,0.43468312499999995,1.134086875,0.958853125,0.017515000000000003,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
39,40.0,4114.6175,1.083719375,1.0321725,0.01017875,0.80646625,0.7827612500000001,0.834790625,0.438505625,1.1255825000000002,0.934974375,0.017313125,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
40,41.0,4216.26875,1.0776625,1.024425,0.010096874999999998,0.8078325,0.7805487500000001,0.8345775,0.43989,1.115824375,0.9487749999999999,0.01715375,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
41,42.0,4318.0375,1.07830125,1.0149525000000001,0.01010625,0.808154375,0.7812950000000001,0.834465,0.441094375,1.1142575,0.93667375,0.017235624999999997,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
42,43.0,4420.030000000001,1.071946875,1.01686375,0.009971250000000001,0.808669375,0.7862025,0.8374431250000001,0.44309437500000004,1.113128125,0.9170024999999999,0.017075625,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
43,44.0,4522.098749999999,1.07784125,1.0137706249999998,0.010016875,0.81727375,0.779681875,0.839005625,0.4431425,1.111093125,0.9171675,0.017201875000000002,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
44,45.0,4623.484375,1.0680381250000002,0.998181875,0.0099475,0.817726875,0.78721,0.8413575,0.44770625,1.11037,0.906796875,0.017093125,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
45,46.0,4724.2975,1.06645375,0.99953875,0.0099475,0.82017375,0.78167875,0.8429187499999999,0.445928125,1.111275,0.9061762500000001,0.01718625,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
46,47.0,4825.211875,1.064129375,0.987953125,0.009845625,0.819543125,0.792470625,0.8454493750000001,0.45243875,1.10096375,0.8955525,0.016911250000000003,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
47,48.0,4925.875625,1.064085,0.98671625,0.009924375000000001,0.820956875,0.783688125,0.8435168749999999,0.45012937499999994,1.0981506250000002,0.9031,0.016898749999999997,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
48,49.0,5026.9556250000005,1.061205,0.98238125,0.009822500000000001,0.8269275,0.7806,0.846005,0.451345,1.101036875,0.8910612499999999,0.016869375,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
49,50.0,5129.4662499999995,1.055241875,0.9809574999999999,0.009795624999999999,0.829303125,0.79216625,0.8505550000000001,0.455004375,1.100383125,0.88500625,0.016883125,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
50,51.0,5231.246874999999,1.05363,0.980165,0.00977375,0.82637,0.792133125,0.849696875,0.45600875,1.0923675,0.880418125,0.01665125,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
51,52.0,5331.264375,1.05147125,0.9702474999999999,0.009784375,0.830041875,0.7895406249999999,0.850255,0.459439375,1.0816218750000002,0.86793875,0.016466875,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
52,53.0,5432.626875,1.048076875,0.96285625,0.009756875,0.831236875,0.791853125,0.85385375,0.462879375,1.07615625,0.855498125,0.016348750000000002,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
53,54.0,5534.56875,1.0507675,0.964624375,0.009661875,0.8319449999999999,0.795766875,0.8544318750000001,0.4635275,1.07551125,0.8511949999999999,0.01638125,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
54,55.0,5636.16125,1.043095,0.957595,0.009749375000000001,0.83713,0.7980262499999999,0.85744,0.468356875,1.0696400000000001,0.842838125,0.01631125,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
