epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,63.5108,1.387,1.95862,1.75879,0.70225,0.70044,0.72806,0.30231,1.29356,1.68392,1.68328,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415
2,111.376,1.2693,1.45739,1.52319,0.70023,0.69009,0.71668,0.34765,1.26748,2.13356,1.69144,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453
3,158.091,1.27844,1.39968,1.52734,0.64898,0.6478,0.65427,0.23433,1.42183,1.61764,1.93463,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191
4,203.44,1.28197,1.36989,1.55618,0.68245,0.69378,0.71596,0.33716,1.27225,1.92829,1.77333,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,248.784,1.25504,1.31226,1.54964,0.68051,0.6968,0.72655,0.37716,1.26304,1.4696,1.77722,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,294.274,1.24058,1.26899,1.53758,0.63212,0.64605,0.62167,0.20658,1.47137,1.68625,2.00209,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,339.093,1.22198,1.23653,1.52342,0.70238,0.68411,0.71925,0.3398,1.26494,1.35069,1.75366,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,383.733,1.1998,1.20296,1.5049,0.67597,0.68665,0.70817,0.27119,1.35062,1.60631,1.84882,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,429.438,1.20215,1.19317,1.50418,0.7308,0.72581,0.77232,0.40369,1.21311,1.31233,1.68979,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,473.773,1.18011,1.1658,1.48611,0.66201,0.65128,0.65339,0.17787,1.51566,1.56095,2.05218,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,519.402,1.17164,1.15347,1.48418,0.72092,0.71484,0.76194,0.39298,1.23669,1.32363,1.68021,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,563.778,1.16597,1.13783,1.47381,0.74538,0.72915,0.77891,0.40635,1.21493,1.28188,1.70374,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,609.398,1.15724,1.1295,1.47318,0.68635,0.67493,0.69044,0.23068,1.42978,1.42712,1.97785,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,653.94,1.15078,1.12035,1.46055,0.72874,0.74104,0.7833,0.42491,1.19038,1.22095,1.68122,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,699.752,1.14223,1.09458,1.4549,0.73579,0.71963,0.76802,0.39352,1.22392,1.27308,1.758,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,744.953,1.13168,1.088,1.44443,0.73844,0.72471,0.77336,0.37391,1.26488,1.22336,1.74559,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,789.618,1.12445,1.08115,1.43712,0.70185,0.69585,0.71215,0.282,1.33116,1.29126,1.85057,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,834.079,1.11956,1.07458,1.42716,0.7378,0.74009,0.78936,0.43313,1.17545,1.26355,1.67248,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,879.716,1.12,1.07333,1.43663,0.73901,0.73708,0.77993,0.38737,1.22817,1.21371,1.73569,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,924.061,1.1141,1.06806,1.43185,0.74087,0.71498,0.7736,0.38628,1.24175,1.24049,1.73147,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,969.733,1.10574,1.05322,1.42382,0.74989,0.72724,0.77334,0.38917,1.25122,1.27023,1.7362,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,1013.96,1.10593,1.06083,1.42517,0.75222,0.72328,0.78763,0.43096,1.17803,1.23214,1.63531,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
