epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,54.8077,1.39495,1.97437,1.65676,0.71867,0.68522,0.73183,0.3184,1.27111,1.65753,1.66035,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415
2,102.925,1.26817,1.44004,1.50382,0.66903,0.66445,0.68706,0.31958,1.3973,2.14958,1.79231,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453
3,148.549,1.28039,1.3993,1.51477,0.61827,0.61703,0.62952,0.21783,1.39907,1.76269,1.83577,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191
4,195.386,1.27643,1.35398,1.548,0.66268,0.64034,0.67617,0.33364,1.31409,1.54311,1.79649,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,240.767,1.25693,1.30848,1.54066,0.70148,0.70837,0.74411,0.38864,1.23432,1.48522,1.73916,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,285.66,1.23862,1.27632,1.5293,0.66531,0.66546,0.66962,0.21917,1.447,1.52896,1.96964,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,330.868,1.22018,1.23795,1.51863,0.69405,0.67396,0.71424,0.31048,1.31265,1.40297,1.82594,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,375.47,1.19683,1.20397,1.49059,0.70339,0.7228,0.75558,0.3867,1.24608,1.49618,1.71661,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,419.807,1.2054,1.19635,1.49774,0.74415,0.7043,0.76937,0.3987,1.22571,1.35501,1.68534,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,465.369,1.18177,1.17382,1.47709,0.71388,0.69172,0.7302,0.29751,1.33334,1.3138,1.82984,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,509.743,1.17389,1.15847,1.47364,0.72743,0.7098,0.76833,0.39778,1.23672,1.34472,1.71577,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,555.437,1.16313,1.13299,1.46345,0.72068,0.71995,0.75457,0.37487,1.25991,1.40748,1.73593,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,599.807,1.15349,1.12476,1.45995,0.64559,0.65283,0.6488,0.19514,1.48283,1.44677,2.03564,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,645.396,1.1554,1.12427,1.46059,0.72244,0.73042,0.76502,0.37868,1.24562,1.27439,1.73952,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,689.482,1.13847,1.09208,1.44011,0.69041,0.68062,0.69546,0.24331,1.40886,1.32585,1.90145,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,735.151,1.13024,1.08713,1.4368,0.71945,0.70044,0.75271,0.36277,1.30609,1.33195,1.73989,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,780.484,1.12554,1.07957,1.43427,0.73592,0.7274,0.77143,0.40562,1.2042,1.24553,1.70227,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,825.158,1.11792,1.07225,1.41901,0.7477,0.7458,0.79938,0.43329,1.1939,1.20024,1.70185,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,869.652,1.11755,1.06732,1.42019,0.73343,0.73628,0.77968,0.38822,1.23966,1.23681,1.72567,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,915.693,1.11049,1.06351,1.42224,0.74003,0.7385,0.78269,0.42034,1.19291,1.27031,1.65495,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,961.067,1.10168,1.04779,1.41111,0.75186,0.7385,0.79088,0.40771,1.22633,1.21192,1.70001,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,1006.71,1.10804,1.06274,1.42231,0.75383,0.72978,0.7926,0.43471,1.17195,1.20735,1.64094,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,1051.09,1.09724,1.04518,1.41123,0.74332,0.73549,0.77836,0.39309,1.22618,1.19343,1.70992,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
