epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,56.9693,1.3888,1.97294,1.70698,0.71418,0.68903,0.72044,0.29101,1.31244,1.77016,1.75272,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415
2,105.622,1.26819,1.43951,1.50892,0.70696,0.72419,0.7396,0.36671,1.25749,1.68678,1.65138,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453
3,152.986,1.28481,1.39181,1.51496,0.71013,0.68474,0.72679,0.33614,1.28462,1.82135,1.71786,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191
4,197.449,1.2779,1.36072,1.54167,0.63815,0.62988,0.65844,0.32408,1.26971,2.14975,1.74567,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,244.336,1.25788,1.3172,1.53496,0.6826,0.70187,0.72219,0.36169,1.25731,1.5338,1.73126,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,289.239,1.24106,1.27982,1.52902,0.70828,0.68252,0.7379,0.37215,1.23766,1.4872,1.75576,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,333.576,1.22021,1.23793,1.51159,0.7119,0.69632,0.73569,0.36652,1.27272,1.35195,1.73806,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,378.842,1.20002,1.19835,1.49384,0.68371,0.69949,0.72511,0.35009,1.2756,1.5019,1.73719,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,423.438,1.20308,1.18963,1.48877,0.71426,0.71193,0.75024,0.3794,1.26213,1.32055,1.74132,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,468.389,1.18081,1.16467,1.48258,0.58593,0.57612,0.53532,0.11405,1.71985,1.66431,2.35874,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,513.228,1.1791,1.16098,1.47458,0.69793,0.69569,0.71663,0.2841,1.39252,1.37314,1.89373,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,557.541,1.16807,1.13611,1.46764,0.71461,0.6794,0.71335,0.25229,1.42052,1.42474,1.93105,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,602.911,1.16149,1.1336,1.46673,0.70732,0.7274,0.75489,0.39451,1.22529,1.3048,1.70935,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,647.062,1.15756,1.1257,1.46122,0.73388,0.72244,0.77182,0.41221,1.18948,1.27338,1.70556,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,692.729,1.1415,1.09671,1.45122,0.71791,0.6982,0.73797,0.31055,1.33146,1.27226,1.82605,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,737.806,1.12998,1.08445,1.43628,0.72793,0.7347,0.7786,0.3973,1.24222,1.27027,1.70176,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,782.534,1.12481,1.08156,1.43154,0.73817,0.73589,0.78848,0.43231,1.17889,1.23059,1.6838,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,827.625,1.12127,1.07296,1.42545,0.73048,0.7427,0.77959,0.42194,1.20262,1.24523,1.69347,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,872.102,1.11733,1.06717,1.42839,0.70966,0.73977,0.76418,0.37257,1.25644,1.24458,1.72692,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,916.423,1.11997,1.07006,1.43078,0.74905,0.73295,0.78712,0.42968,1.17487,1.25781,1.63705,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,962.078,1.10704,1.05519,1.41913,0.7172,0.73057,0.76943,0.38137,1.23625,1.26228,1.72142,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,1006.58,1.10601,1.06129,1.42114,0.75499,0.7255,0.79293,0.42528,1.18512,1.193,1.65935,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,1052.52,1.10198,1.04984,1.41795,0.73623,0.74847,0.78848,0.43768,1.19712,1.19658,1.67938,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,1096.71,1.09636,1.03923,1.4127,0.76607,0.73089,0.79298,0.43574,1.17125,1.22593,1.64582,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,1142.39,1.09258,1.0375,1.4044,0.73162,0.73787,0.78495,0.43308,1.18159,1.20258,1.67504,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,1186.44,1.0858,1.02292,1.40172,0.73169,0.7255,0.76837,0.38458,1.24646,1.18531,1.70998,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
