epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,53.9474,1.4024,1.97557,1.64843,0.68828,0.6811,0.70361,0.24738,1.37061,1.68723,1.72498,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415
2,102.525,1.26714,1.43725,1.49192,0.67503,0.67174,0.69564,0.32797,1.30069,2.67934,1.66627,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453
3,147.077,1.28547,1.3925,1.5082,0.64609,0.64351,0.66019,0.23602,1.40433,1.59962,1.81401,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191
4,193.261,1.28153,1.35354,1.542,0.71373,0.6666,0.72623,0.36251,1.27041,1.49029,1.75395,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,238.183,1.25968,1.30835,1.53475,0.69751,0.71231,0.74801,0.38479,1.24721,1.38809,1.70776,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,283.304,1.24097,1.26779,1.52351,0.70428,0.69521,0.72844,0.3139,1.3686,1.36295,1.86017,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,327.407,1.2235,1.2361,1.51882,0.60671,0.57374,0.54766,0.13771,1.58295,1.55463,2.13832,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,373.087,1.20023,1.20566,1.49364,0.70231,0.71495,0.74968,0.34954,1.27153,1.36665,1.74161,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,417.273,1.2013,1.18895,1.48463,0.71783,0.73787,0.77729,0.41,1.19561,1.29378,1.6405,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,462.882,1.17868,1.15994,1.47131,0.69405,0.66911,0.69767,0.26673,1.34927,1.38135,1.80346,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,507.886,1.17538,1.15223,1.47611,0.73713,0.66835,0.73853,0.37485,1.23747,1.31657,1.71851,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,552.508,1.17156,1.13497,1.4635,0.7441,0.7079,0.77141,0.39841,1.23354,1.31955,1.73051,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,596.682,1.15996,1.12512,1.46334,0.71471,0.74437,0.77806,0.42421,1.19792,1.31196,1.66621,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,642.027,1.15391,1.11884,1.45288,0.70946,0.73108,0.75149,0.33341,1.28417,1.25939,1.77807,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,686.257,1.14012,1.09555,1.44615,0.72345,0.71376,0.75717,0.36445,1.27464,1.32274,1.74473,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,732.033,1.13518,1.08788,1.44008,0.6938,0.7006,0.73055,0.32344,1.3035,1.32116,1.76627,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,776.143,1.12574,1.0821,1.43362,0.72647,0.73788,0.77951,0.42426,1.17717,1.24034,1.66135,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,821.607,1.12982,1.0746,1.42817,0.73346,0.74722,0.7854,0.4224,1.18923,1.2517,1.66966,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,865.512,1.12469,1.07208,1.4265,0.73211,0.73979,0.77879,0.40119,1.21796,1.221,1.7106,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,911.225,1.11764,1.06799,1.4251,0.76429,0.7276,0.79661,0.44194,1.16726,1.20738,1.65845,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,955.883,1.10233,1.05239,1.41119,0.74862,0.7419,0.79113,0.41582,1.19524,1.20134,1.67126,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,1000.89,1.10216,1.0588,1.41084,0.74261,0.73723,0.79208,0.43115,1.17153,1.20939,1.64412,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
