epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,59.2683,1.39014,1.98756,1.7713,0.67657,0.68617,0.6993,0.25767,1.35991,1.78328,1.80994,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415
2,111.179,1.27156,1.43736,1.53832,0.69155,0.68263,0.71034,0.34964,1.27117,2.31702,1.70495,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453
3,159.923,1.28166,1.39186,1.53069,0.6668,0.62718,0.66049,0.20726,1.47197,1.63643,1.9378,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191
4,206.34,1.27867,1.36324,1.55554,0.70201,0.68627,0.72569,0.35738,1.28269,1.7137,1.76451,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,251.1,1.25485,1.30904,1.54529,0.70858,0.69426,0.74798,0.3879,1.25007,1.36307,1.75312,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,295.305,1.23772,1.26683,1.53766,0.70222,0.69981,0.72763,0.34974,1.2645,1.44526,1.79606,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,340.683,1.224,1.24194,1.52545,0.71318,0.71519,0.75483,0.376,1.24034,1.34807,1.71851,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,384.796,1.20038,1.20337,1.50231,0.69074,0.70964,0.73268,0.37745,1.22904,1.6512,1.72893,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,430.394,1.19785,1.18766,1.49887,0.72505,0.72471,0.77035,0.40544,1.2131,1.36667,1.70219,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,475.486,1.17972,1.16507,1.48823,0.71497,0.68918,0.72427,0.28247,1.37527,1.33116,1.8429,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,519.997,1.17482,1.15759,1.48571,0.73932,0.71151,0.77628,0.40741,1.2173,1.29008,1.6976,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,565.228,1.16655,1.13644,1.47277,0.70585,0.71662,0.75117,0.37988,1.24577,1.35367,1.71195,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,609.771,1.16058,1.12956,1.47608,0.65484,0.67813,0.67305,0.20685,1.45473,1.38028,2.02415,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,654.044,1.15071,1.12205,1.46261,0.71581,0.73534,0.77081,0.41907,1.17667,1.2625,1.69258,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,699.581,1.14321,1.09631,1.45536,0.70626,0.71329,0.73235,0.32407,1.31252,1.30525,1.83316,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,744.048,1.13041,1.08791,1.44431,0.73079,0.7339,0.77608,0.39948,1.242,1.24983,1.71635,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,789.469,1.12616,1.07948,1.44449,0.74021,0.72487,0.78374,0.42457,1.19124,1.22847,1.70756,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,833.739,1.12116,1.07521,1.43391,0.73636,0.74786,0.79121,0.41932,1.21574,1.24201,1.69913,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,879.253,1.11977,1.06947,1.43254,0.75842,0.74627,0.80321,0.42921,1.17818,1.1817,1.66372,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,924.577,1.11425,1.06856,1.43446,0.74764,0.73866,0.79436,0.43113,1.1884,1.21901,1.67371,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,969.333,1.1083,1.05206,1.42544,0.72094,0.72613,0.76925,0.3959,1.20026,1.26958,1.69668,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,1014.28,1.10505,1.05823,1.42421,0.74859,0.72709,0.78186,0.41512,1.19803,1.25234,1.66673,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,1058.77,1.09696,1.04287,1.41608,0.74855,0.73676,0.78958,0.42225,1.19527,1.19612,1.68846,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,1102.93,1.09538,1.04083,1.41698,0.76692,0.71741,0.79114,0.43093,1.16847,1.18322,1.65097,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,1148.42,1.09067,1.03321,1.40604,0.73538,0.74183,0.78499,0.42763,1.19458,1.26906,1.70828,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,1192.51,1.0818,1.02044,1.40102,0.76318,0.71853,0.79108,0.4262,1.20466,1.18705,1.68633,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,1238.15,1.0881,1.02958,1.4083,0.74971,0.74099,0.79179,0.4238,1.17805,1.18897,1.68118,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,1282.13,1.08307,1.02336,1.41036,0.75779,0.74231,0.80529,0.43845,1.15996,1.15983,1.65368,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,1327.74,1.07757,1.02083,1.40037,0.76218,0.73542,0.79617,0.43472,1.18148,1.18585,1.68341,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,1371.72,1.075,1.01152,1.40204,0.75353,0.73819,0.79732,0.44189,1.16898,1.1769,1.67819,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,1417.18,1.0713,1.00998,1.39463,0.74698,0.7588,0.80528,0.43906,1.21139,1.11475,1.70898,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1461.63,1.06704,1.00618,1.38808,0.74156,0.74865,0.79636,0.4302,1.19941,1.18773,1.68816,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
