epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,72.0352,1.35171,2.9353,0.01228,0.66814,0.61196,0.63578,0.28131,1.25525,2.10082,0.01829,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415
2,133.217,1.26252,1.69751,0.01154,0.64021,0.66708,0.66239,0.2192,1.45488,1.53262,0.02177,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453
3,190.915,1.28133,1.50773,0.01163,0.67136,0.6857,0.68928,0.24644,1.43709,1.56472,0.02154,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191
4,247.2,1.28837,1.43501,0.01177,0.68418,0.65335,0.67816,0.26377,1.4243,1.5895,0.02238,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,303.972,1.26746,1.3781,0.01158,0.72924,0.71369,0.75971,0.38542,1.24914,1.36505,0.01873,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,359.597,1.25441,1.34856,0.01154,0.6981,0.72931,0.74197,0.34795,1.32343,1.37507,0.02014,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,416.752,1.24113,1.32634,0.01126,0.73415,0.72233,0.76056,0.38969,1.24135,1.43119,0.01905,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,473.044,1.2242,1.29093,0.01108,0.71745,0.71662,0.75261,0.3963,1.23693,1.3013,0.01891,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,530.038,1.2176,1.27447,0.01098,0.72189,0.72962,0.76285,0.39201,1.26625,1.27011,0.01939,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,586.737,1.20794,1.25516,0.01097,0.64562,0.67718,0.65979,0.18551,1.52678,1.53594,0.02335,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,643.239,1.19743,1.23673,0.01075,0.7437,0.74104,0.7821,0.41217,1.25239,1.30883,0.01912,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,699.844,1.18844,1.2295,0.01063,0.73388,0.73994,0.77645,0.41398,1.23309,1.41552,0.01869,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,756.438,1.18384,1.23587,0.0107,0.68991,0.70774,0.72348,0.29875,1.32168,1.4093,0.0199,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,812.427,1.18391,1.22279,0.01057,0.67248,0.69442,0.68768,0.23056,1.43067,1.36605,0.02177,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,869.593,1.18053,1.18848,0.01068,0.71558,0.73057,0.75148,0.34581,1.29846,1.29995,0.02002,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,926.622,1.16824,1.17239,0.01049,0.73266,0.75618,0.78864,0.42046,1.238,1.25989,0.0188,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,983.061,1.15655,1.15908,0.01035,0.6732,0.71567,0.70241,0.25294,1.39291,1.36916,0.02068,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,1039.4,1.15848,1.17293,0.01029,0.72721,0.75334,0.78381,0.40619,1.22477,1.30113,0.01831,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,1096.2,1.15509,1.1647,0.01033,0.75026,0.75698,0.79203,0.41602,1.24206,1.257,0.0189,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,1152.84,1.15394,1.14939,0.01027,0.7176,0.74105,0.7638,0.37604,1.25702,1.24069,0.01906,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
