epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,71.2896,1.37641,2.9266,0.01256,0.65829,0.64766,0.64143,0.29219,1.28125,1.96683,0.0191,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415
2,132.694,1.25975,1.67838,0.01153,0.69324,0.70901,0.72143,0.35832,1.26543,1.51259,0.01918,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453
3,190.539,1.28549,1.48031,0.01166,0.64729,0.68554,0.692,0.32624,1.34742,1.72291,0.0206,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191
4,246.806,1.29388,1.42284,0.01185,0.70903,0.69236,0.72948,0.36695,1.27627,1.49519,0.01938,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,304.38,1.27264,1.37284,0.01159,0.70122,0.71049,0.73718,0.37574,1.27386,1.42895,0.01958,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,361.144,1.25838,1.35187,0.01155,0.71573,0.71202,0.7373,0.35589,1.28417,1.44295,0.01929,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,417.254,1.2324,1.32192,0.01117,0.71241,0.70726,0.73716,0.33263,1.3361,1.4252,0.01979,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,474.368,1.21847,1.28663,0.01105,0.73594,0.72658,0.77225,0.38813,1.26502,1.2614,0.01896,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,530.54,1.22461,1.29154,0.01105,0.72562,0.72613,0.76575,0.40281,1.23011,1.30416,0.01861,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,587.358,1.20641,1.25395,0.01093,0.6409,0.61053,0.60225,0.1528,1.55591,1.58507,0.02408,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,644.095,1.19949,1.24231,0.01075,0.69223,0.68078,0.69922,0.24583,1.40133,1.42142,0.02161,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,700.762,1.19947,1.2336,0.01074,0.71989,0.70837,0.7403,0.33856,1.28393,1.36522,0.01955,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,757.44,1.19228,1.23169,0.01078,0.68378,0.70282,0.70115,0.28928,1.37441,1.4471,0.02143,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,814.332,1.19342,1.22026,0.01068,0.7364,0.73184,0.77582,0.39303,1.27296,1.25922,0.01937,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,870.677,1.17557,1.18691,0.0106,0.73064,0.69981,0.74601,0.34769,1.29632,1.32942,0.01981,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,927.506,1.16706,1.17766,0.01043,0.72397,0.7208,0.75542,0.36207,1.30454,1.3496,0.01974,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,983.942,1.16113,1.16725,0.01039,0.74447,0.73723,0.78325,0.42684,1.17996,1.32961,0.01757,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,1040.58,1.15856,1.15913,0.01026,0.7653,0.74253,0.79878,0.43396,1.21366,1.22111,0.01863,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,1097.23,1.15723,1.16103,0.01036,0.7352,0.72208,0.75116,0.32594,1.30401,1.27472,0.01976,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,1153.57,1.15164,1.15763,0.01023,0.72603,0.71757,0.74375,0.33823,1.30234,1.34549,0.02015,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,1210.26,1.15353,1.14147,0.01035,0.74061,0.74029,0.78647,0.4019,1.24198,1.24232,0.01875,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,1266.56,1.15097,1.14633,0.01037,0.74087,0.74446,0.78494,0.42206,1.21647,1.28121,0.01845,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,1323.32,1.13477,1.13725,0.01016,0.73528,0.74616,0.78033,0.4226,1.22734,1.24853,0.01922,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,1379.85,1.13874,1.12305,0.01021,0.73901,0.7339,0.77928,0.40257,1.23796,1.22748,0.01875,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,1436.45,1.13405,1.12058,0.01013,0.72988,0.74485,0.7653,0.38287,1.25085,1.29831,0.01912,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,1493.01,1.11947,1.10027,0.00996,0.72744,0.74066,0.77093,0.39828,1.22564,1.2203,0.01832,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,1549.35,1.12308,1.11112,0.01008,0.74501,0.75475,0.79442,0.42806,1.22681,1.23209,0.01899,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,1606.01,1.12584,1.10981,0.01015,0.77187,0.73787,0.7894,0.41354,1.21536,1.23744,0.01843,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,1662.44,1.11836,1.07957,0.01,0.74895,0.75436,0.79632,0.42874,1.21047,1.23479,0.01854,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,1719.43,1.12265,1.07748,0.00994,0.74078,0.73957,0.77129,0.39304,1.2292,1.23695,0.01887,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,1775.76,1.10715,1.08704,0.00986,0.75875,0.7536,0.79787,0.43309,1.23494,1.20422,0.01904,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1832.41,1.10894,1.06685,0.00995,0.73491,0.76189,0.78485,0.41366,1.25455,1.24675,0.01944,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,1889.23,1.10808,1.05527,0.00982,0.74872,0.74263,0.78489,0.41598,1.21703,1.22241,0.01882,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,1945.58,1.09808,1.04142,0.0097,0.74762,0.74088,0.78783,0.42754,1.21525,1.2691,0.01857,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,2002.23,1.10562,1.05979,0.00979,0.72416,0.74063,0.75474,0.36749,1.26993,1.25595,0.01922,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,2058.63,1.10601,1.04741,0.00982,0.7341,0.75217,0.78478,0.41681,1.23186,1.22584,0.01866,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,2115.43,1.09009,1.02231,0.00956,0.74792,0.75657,0.79197,0.43014,1.20749,1.23226,0.01838,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,2171.53,1.09829,1.03325,0.00976,0.75532,0.74104,0.79179,0.42442,1.22783,1.21247,0.01878,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,2228.35,1.09037,1.02838,0.00965,0.75187,0.73708,0.77855,0.40534,1.23308,1.25989,0.01883,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,2285.78,1.08643,1.01061,0.00958,0.74805,0.74611,0.7791,0.41874,1.23362,1.3016,0.01892,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,2342.69,1.08601,1.01481,0.00959,0.75585,0.74247,0.784,0.42012,1.23295,1.21195,0.01886,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,2399.4,1.08434,1.00369,0.00958,0.75803,0.74567,0.79369,0.42588,1.24029,1.25862,0.01899,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,2455.05,1.08067,0.99403,0.00952,0.73226,0.7334,0.7594,0.37236,1.27623,1.2637,0.01959,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,2512.6,1.07261,0.99659,0.00938,0.74447,0.76181,0.79047,0.4255,1.21933,1.23833,0.0187,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,2568.27,1.07074,0.99268,0.00941,0.75255,0.74802,0.788,0.42053,1.2394,1.23223,0.01904,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,2625.29,1.06887,0.97569,0.0095,0.74476,0.75547,0.79014,0.42746,1.23528,1.22329,0.01933,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,2682.01,1.06549,0.97468,0.00939,0.75247,0.76166,0.79326,0.42778,1.22092,1.19752,0.01868,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,2738.34,1.06334,0.97124,0.00931,0.7465,0.73081,0.76105,0.37748,1.27307,1.24207,0.01952,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
