epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,72.0624,1.33123,2.98052,0.01201,0.63092,0.58849,0.60607,0.28159,1.22049,2.15142,0.01777,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415
2,131.802,1.25061,1.71794,0.0114,0.68922,0.68789,0.70981,0.34793,1.25027,1.50343,0.0185,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453
3,189.957,1.28089,1.50003,0.01161,0.57697,0.59943,0.54913,0.13892,1.58228,1.64093,0.02394,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191
4,245.855,1.29151,1.42453,0.01183,0.68923,0.70631,0.72408,0.31924,1.31932,1.52442,0.02022,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,302.87,1.27584,1.39425,0.01167,0.70153,0.69505,0.7283,0.34607,1.31339,1.45038,0.01988,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,359.534,1.25754,1.34185,0.01155,0.58843,0.59102,0.53473,0.11517,1.70522,1.95988,0.02618,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,415.16,1.245,1.32129,0.01128,0.72061,0.70203,0.74582,0.36566,1.25881,1.46203,0.01899,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,472.703,1.21934,1.28871,0.01105,0.72293,0.73454,0.76182,0.36629,1.25264,1.32778,0.0185,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,529.372,1.21956,1.27684,0.011,0.71243,0.71075,0.74646,0.35231,1.32132,1.36939,0.02047,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,585.01,1.20184,1.25988,0.01089,0.71539,0.7144,0.74896,0.32668,1.29811,1.32492,0.01942,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,642.056,1.19005,1.23977,0.01068,0.74909,0.71582,0.77849,0.4051,1.24891,1.29544,0.01905,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,698,1.1916,1.21856,0.01063,0.74334,0.71979,0.76783,0.39819,1.27233,1.31858,0.01957,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,755.141,1.18467,1.2205,0.01071,0.68925,0.68623,0.69887,0.2538,1.3868,1.42508,0.02115,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,811.707,1.17756,1.20444,0.0105,0.74122,0.74152,0.78572,0.41515,1.22228,1.2094,0.01843,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,867.722,1.18071,1.17743,0.01066,0.71223,0.72807,0.76451,0.38964,1.2795,1.31916,0.01993,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,925.037,1.1672,1.16693,0.01046,0.73033,0.7339,0.78103,0.40592,1.24921,1.26559,0.01908,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,981.892,1.15731,1.15512,0.01036,0.73424,0.74656,0.7843,0.41927,1.21489,1.28533,0.01861,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,1037.43,1.15617,1.15946,0.01027,0.75684,0.74185,0.79506,0.42678,1.19478,1.25361,0.01789,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,1094.55,1.16253,1.15037,0.0104,0.75043,0.74386,0.78909,0.41783,1.21995,1.24943,0.019,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,1150.4,1.15239,1.15302,0.01027,0.74832,0.73744,0.78103,0.4118,1.20876,1.24378,0.0186,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,1207.23,1.14643,1.13513,0.0103,0.74998,0.73733,0.78943,0.42617,1.20452,1.22626,0.0182,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
