epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,73.2689,1.35343,2.92175,0.01231,0.6539,0.60831,0.61849,0.24312,1.28719,2.13503,0.01835,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415
2,141.209,1.24907,1.73106,0.01141,0.66991,0.69283,0.70578,0.35269,1.22702,1.47351,0.01811,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453
3,206.849,1.27696,1.52391,0.01155,0.69097,0.6941,0.71022,0.35447,1.28525,1.46349,0.01962,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191
4,270.545,1.28054,1.45892,0.01169,0.70964,0.64351,0.68521,0.25634,1.36221,1.58436,0.02045,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,334.375,1.2609,1.40998,0.0115,0.71644,0.71519,0.75357,0.38791,1.24225,1.39054,0.01877,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,398.363,1.24395,1.37261,0.0114,0.63631,0.65007,0.63205,0.18693,1.53804,1.72014,0.02333,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,462.559,1.23626,1.33399,0.0112,0.73334,0.69252,0.75062,0.38317,1.24177,1.39826,0.01871,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,525.267,1.22091,1.31182,0.01106,0.73825,0.72142,0.77008,0.40337,1.2515,1.32772,0.01932,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,588.353,1.219,1.28906,0.01099,0.72523,0.71329,0.75624,0.36952,1.28994,1.36402,0.02013,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,645.462,1.2036,1.26575,0.01089,0.72217,0.72518,0.7655,0.39364,1.25218,1.32946,0.01909,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,701.527,1.1979,1.25099,0.01073,0.72819,0.72519,0.76466,0.39448,1.26432,1.31252,0.01926,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,758.987,1.19485,1.23932,0.01067,0.69243,0.70821,0.72084,0.29775,1.37644,1.41983,0.02113,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,814.911,1.18381,1.22292,0.01071,0.72963,0.74374,0.77909,0.41772,1.22903,1.31033,0.01903,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,872.154,1.17769,1.22492,0.01052,0.74114,0.72772,0.7714,0.40001,1.22971,1.27079,0.01854,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,929.09,1.17056,1.18651,0.01056,0.71194,0.70695,0.728,0.30901,1.33847,1.3105,0.02059,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,986.094,1.16935,1.17836,0.01049,0.71744,0.73993,0.76493,0.39831,1.24657,1.33868,0.01889,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,1042.57,1.15711,1.16376,0.01035,0.72896,0.7434,0.78293,0.41873,1.20796,1.25333,0.01822,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,1099.47,1.15977,1.16329,0.01028,0.74512,0.75563,0.79004,0.41202,1.23238,1.22049,0.01857,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,1155.3,1.15518,1.15581,0.01033,0.75282,0.74233,0.7904,0.40354,1.23652,1.22227,0.01873,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,1213,1.15032,1.1553,0.01024,0.69599,0.68966,0.6902,0.21602,1.42947,1.35232,0.02157,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,1274.69,1.14935,1.13696,0.01033,0.7202,0.68167,0.72354,0.32838,1.32426,1.372,0.01992,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,1336.63,1.14966,1.15184,0.01037,0.75751,0.74516,0.79218,0.41235,1.19879,1.26798,0.01788,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,1395.98,1.14041,1.12435,0.01023,0.75253,0.75517,0.79368,0.43112,1.20825,1.2572,0.01842,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,1455.03,1.13703,1.12382,0.01021,0.73746,0.72561,0.76647,0.37976,1.28074,1.24522,0.01952,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,1512.62,1.13208,1.11811,0.01009,0.7495,0.75204,0.78898,0.4186,1.22261,1.23407,0.01857,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,1571.47,1.12328,1.09606,0.01001,0.75554,0.74302,0.79428,0.42715,1.22491,1.19552,0.01857,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,1629.01,1.12306,1.1006,0.01008,0.76075,0.73993,0.78765,0.41573,1.23455,1.24072,0.01904,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,1688.32,1.127,1.09807,0.01015,0.75693,0.73708,0.79054,0.42966,1.20031,1.24642,0.01826,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,1747.35,1.11962,1.08659,0.01005,0.74853,0.73184,0.77773,0.40992,1.23526,1.31067,0.01875,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,1804.93,1.12231,1.08587,0.00994,0.73226,0.75658,0.78726,0.42731,1.21003,1.27205,0.01838,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,1864.61,1.11226,1.07994,0.00991,0.74345,0.75293,0.79175,0.42581,1.20868,1.2078,0.01819,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
