epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,71.3135,1.35391,2.92959,0.01225,0.64983,0.59483,0.62554,0.28792,1.20179,2.19043,0.01704,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415
2,134.693,1.24966,1.71372,0.0114,0.69992,0.66133,0.70074,0.34354,1.25438,1.50823,0.01868,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453
3,194.865,1.27215,1.51252,0.01154,0.68197,0.67919,0.70917,0.35521,1.25707,1.59382,0.01884,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191
4,253.463,1.28396,1.43437,0.01174,0.69837,0.68237,0.71873,0.33109,1.31231,1.45094,0.01985,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,312.895,1.26982,1.37601,0.01158,0.72084,0.70143,0.74307,0.37974,1.27286,1.44028,0.01953,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,371.694,1.26048,1.35134,0.0116,0.6664,0.68804,0.70296,0.30502,1.38038,1.78299,0.02117,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,429.948,1.2368,1.31451,0.0112,0.71438,0.71593,0.74616,0.3695,1.27095,1.35717,0.0192,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,489.551,1.2218,1.28796,0.01106,0.74108,0.71662,0.76978,0.39477,1.24853,1.28486,0.0187,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,549.184,1.22308,1.283,0.01101,0.7018,0.72566,0.74805,0.38038,1.25923,1.35365,0.01888,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,606.385,1.20659,1.26088,0.01091,0.65465,0.66583,0.64875,0.19716,1.43955,1.51912,0.02184,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,665.598,1.1999,1.24854,0.01076,0.74785,0.70536,0.7638,0.39412,1.26776,1.37775,0.01947,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,723.937,1.19477,1.24061,0.01068,0.74973,0.7335,0.78297,0.41537,1.21854,1.28214,0.01818,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,783.161,1.18621,1.22176,0.01072,0.71406,0.71558,0.74443,0.33018,1.31895,1.32313,0.0199,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,842.601,1.18469,1.20936,0.01057,0.68937,0.6941,0.69089,0.23227,1.42625,1.32501,0.02169,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,902.638,1.17364,1.19085,0.01058,0.73471,0.71995,0.75765,0.38791,1.26476,1.28842,0.01971,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,960.698,1.16111,1.18171,0.0104,0.73992,0.72344,0.77526,0.40878,1.23524,1.31109,0.01886,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,1020.27,1.16396,1.16294,0.01043,0.73481,0.75183,0.78564,0.42033,1.20931,1.21908,0.01816,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,1078.53,1.1571,1.16097,0.01024,0.75453,0.74881,0.7977,0.42788,1.20894,1.20574,0.01818,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,1137.93,1.153,1.16378,0.0103,0.74472,0.7542,0.79894,0.43099,1.21232,1.24012,0.01836,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,1196.5,1.15226,1.15128,0.01026,0.72851,0.72502,0.74853,0.32885,1.28931,1.26706,0.01969,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,1255.37,1.15197,1.1369,0.01034,0.72109,0.73755,0.77521,0.39735,1.23097,1.30315,0.01835,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,1313.13,1.1504,1.15375,0.01033,0.74809,0.74056,0.79369,0.41777,1.21371,1.23699,0.01819,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,1373.13,1.13672,1.12431,0.01017,0.70702,0.75273,0.76697,0.40189,1.23551,1.2625,0.01902,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,1432.13,1.14089,1.11225,0.01023,0.75295,0.72994,0.78609,0.4215,1.19558,1.26315,0.01791,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,1492.28,1.13639,1.10718,0.01015,0.74852,0.74152,0.78842,0.42401,1.20631,1.21854,0.01831,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,1551.31,1.12496,1.10225,0.01004,0.74707,0.7385,0.79211,0.43714,1.21403,1.17561,0.01823,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,1607.94,1.13161,1.10703,0.01016,0.71046,0.72106,0.73783,0.3107,1.31686,1.26324,0.01981,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,1665.86,1.13148,1.10592,0.01021,0.74175,0.73771,0.77951,0.4077,1.21243,1.22149,0.01833,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,1722.53,1.11726,1.08956,0.01001,0.75419,0.75262,0.79775,0.43563,1.21228,1.22517,0.0185,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,1781.26,1.11916,1.08463,0.00988,0.7358,0.74485,0.78448,0.42217,1.22233,1.18627,0.01868,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,1839.87,1.1151,1.07396,0.00993,0.76577,0.74191,0.79622,0.43761,1.23202,1.18598,0.01915,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1897.94,1.11691,1.06824,0.01001,0.75097,0.74361,0.78819,0.42296,1.2438,1.19936,0.01912,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,1954.53,1.11192,1.05312,0.00984,0.76369,0.73387,0.79547,0.43082,1.22609,1.23368,0.0187,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,2011.18,1.10268,1.04367,0.00974,0.74699,0.7523,0.79224,0.43407,1.23378,1.21348,0.01889,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,2067.15,1.10409,1.04471,0.00978,0.72707,0.7473,0.77664,0.40262,1.26299,1.20681,0.01941,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,2124.59,1.10251,1.03797,0.00978,0.74873,0.731,0.78051,0.41198,1.24888,1.2263,0.01895,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,2180.43,1.09445,1.01856,0.00961,0.76155,0.73892,0.78172,0.41072,1.25426,1.21477,0.01924,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,2237.36,1.09744,1.04107,0.00976,0.73245,0.73343,0.77506,0.41561,1.22626,1.231,0.01844,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,2294.07,1.09186,1.02596,0.00966,0.75648,0.74238,0.78913,0.42166,1.23309,1.21075,0.01896,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,2350.99,1.09076,1.01128,0.00963,0.74592,0.7514,0.79155,0.42956,1.2305,1.24721,0.01877,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,2407.38,1.08711,1.02076,0.0096,0.76568,0.74009,0.7985,0.43339,1.22747,1.18439,0.01871,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,2463.93,1.08482,1.00416,0.00959,0.76034,0.73597,0.78955,0.4215,1.23804,1.2578,0.01873,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,2519.93,1.08135,1.0013,0.00952,0.76399,0.73407,0.78419,0.41527,1.24126,1.19389,0.01898,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
