epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,53.0487,1.38388,1.94881,1.65439,0.62814,0.64494,0.63417,0.19658,1.43567,2.77151,1.79429,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415
2,99.1829,1.26033,1.46935,1.48841,0.67472,0.70155,0.70909,0.33697,1.27828,1.85915,1.65741,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453
3,142.901,1.26712,1.39404,1.50105,0.60431,0.60197,0.57763,0.16977,1.49912,1.67787,1.96428,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191
4,185.005,1.26362,1.35165,1.52237,0.69299,0.66398,0.70502,0.34344,1.29289,1.95281,1.72078,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,228.244,1.24019,1.29138,1.5137,0.69865,0.72423,0.74915,0.37812,1.2724,1.48132,1.71577,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,270.016,1.22258,1.2573,1.50392,0.68798,0.68112,0.70502,0.25426,1.38693,1.44981,1.8818,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,314.268,1.20394,1.22177,1.49436,0.65976,0.65287,0.65181,0.19978,1.43391,1.46058,1.95917,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,356.996,1.18387,1.18348,1.47309,0.72964,0.66714,0.74169,0.37937,1.25384,1.39771,1.7314,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,401.18,1.18451,1.1743,1.47723,0.73254,0.70926,0.76088,0.398,1.20008,1.3335,1.66449,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,443.958,1.1631,1.1524,1.46015,0.72578,0.72567,0.76851,0.41286,1.21605,1.3204,1.68652,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
