epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,53.1589,1.37974,1.98156,1.66981,0.68317,0.68982,0.70241,0.28682,1.29987,2.58104,1.70205,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415
2,98.1143,1.25917,1.46986,1.49796,0.70941,0.72058,0.74637,0.37044,1.23992,1.54438,1.63048,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453
3,140.981,1.26513,1.39017,1.49842,0.68834,0.6746,0.70174,0.29442,1.33145,1.55382,1.73214,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191
4,184.267,1.26561,1.34899,1.52031,0.69357,0.69109,0.71623,0.35122,1.25602,1.59179,1.68671,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,226.443,1.24295,1.29179,1.50984,0.70754,0.70821,0.74274,0.37046,1.25621,1.52103,1.72851,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,270.036,1.22515,1.25136,1.50548,0.71732,0.66517,0.72833,0.33944,1.31437,1.41722,1.80625,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,312.325,1.21282,1.22051,1.49414,0.71123,0.70266,0.73171,0.31614,1.3098,1.42222,1.7659,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,356.162,1.18686,1.19175,1.47511,0.69148,0.72079,0.73615,0.37147,1.24122,1.38333,1.6813,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,398.922,1.18515,1.17336,1.47046,0.73611,0.70334,0.75854,0.37069,1.25892,1.30261,1.71986,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,442.023,1.16594,1.15261,1.45959,0.67946,0.66936,0.68347,0.22423,1.44993,1.38658,1.94042,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,484.563,1.15591,1.13622,1.45138,0.73322,0.71059,0.76893,0.40644,1.22052,1.28076,1.70119,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,526.883,1.1501,1.11741,1.44764,0.73007,0.72743,0.76987,0.39036,1.24087,1.26186,1.67202,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,570.317,1.14519,1.11197,1.44575,0.72252,0.71614,0.76461,0.39863,1.23099,1.24613,1.73359,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,612.513,1.14086,1.10651,1.44053,0.73032,0.7282,0.77056,0.40509,1.20507,1.25788,1.70323,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,656.14,1.1258,1.07774,1.42859,0.73318,0.72154,0.76657,0.4052,1.22429,1.28305,1.71302,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,698.52,1.12172,1.07665,1.42623,0.72146,0.7079,0.75174,0.37921,1.24094,1.28174,1.69997,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,742.338,1.11003,1.0594,1.41823,0.73133,0.73137,0.77158,0.40274,1.21669,1.24487,1.68894,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,785.051,1.10516,1.0597,1.40994,0.74924,0.75572,0.79554,0.43152,1.19611,1.17605,1.67142,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,828.243,1.10893,1.05284,1.41618,0.73547,0.7282,0.76931,0.36338,1.27635,1.21685,1.73581,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,871.072,1.09637,1.04602,1.40599,0.75812,0.72962,0.79254,0.42106,1.20041,1.20821,1.67875,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,913.839,1.09144,1.03289,1.40558,0.74667,0.73882,0.79352,0.41626,1.1936,1.17907,1.64539,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,956.907,1.09108,1.0396,1.40311,0.72661,0.74849,0.78548,0.42757,1.17432,1.20432,1.62472,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,998.622,1.08439,1.02342,1.39639,0.74886,0.73626,0.78663,0.41776,1.20404,1.16295,1.652,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,1041.74,1.08021,1.01837,1.39432,0.76567,0.72138,0.79184,0.42921,1.18929,1.19781,1.67907,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,1083.37,1.07739,1.01707,1.38799,0.73736,0.73042,0.77647,0.37625,1.25278,1.1848,1.72098,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
