epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,51.5223,1.37863,1.96908,1.67874,0.69263,0.67682,0.69554,0.26901,1.33218,2.27789,1.68751,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415
2,96.058,1.25833,1.47792,1.49679,0.71972,0.70425,0.74163,0.34746,1.2864,1.80627,1.66348,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453
3,139.997,1.26437,1.40169,1.49751,0.59763,0.61191,0.57414,0.15707,1.50754,1.78933,1.9332,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191
4,182.063,1.26481,1.34935,1.52232,0.63932,0.6654,0.65865,0.31851,1.25814,1.70559,1.71584,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,225.394,1.24267,1.29581,1.51632,0.70128,0.69988,0.73259,0.3857,1.24803,1.39774,1.74111,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,267.158,1.22399,1.26067,1.50717,0.69432,0.69807,0.72437,0.33082,1.29585,1.39552,1.78557,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,310.53,1.20723,1.21913,1.49913,0.74519,0.71487,0.77236,0.39226,1.21528,1.28572,1.68371,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,352.96,1.18196,1.18499,1.47478,0.70258,0.71624,0.7484,0.3536,1.29374,1.36689,1.75276,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,395.762,1.18776,1.17525,1.48693,0.69111,0.70298,0.73353,0.32122,1.32105,1.36866,1.79344,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,437.954,1.1651,1.15058,1.46453,0.70201,0.67169,0.71221,0.28109,1.37879,1.41029,1.84531,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
