epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,51.5751,1.37976,1.93443,1.69307,0.64297,0.66942,0.64474,0.20008,1.43142,2.12841,1.81921,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415
2,96.9124,1.25674,1.4752,1.50288,0.70738,0.71112,0.73888,0.35934,1.24142,1.7367,1.65169,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453
3,140.062,1.26146,1.40235,1.5023,0.64118,0.63717,0.64299,0.20165,1.47267,1.65548,1.87928,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191
4,183.647,1.26463,1.36303,1.52067,0.682,0.69458,0.713,0.35298,1.25387,1.49855,1.71168,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,225.943,1.24163,1.30259,1.50656,0.72471,0.70553,0.75045,0.38929,1.24475,1.37798,1.69158,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,271.214,1.22078,1.26052,1.49802,0.69708,0.69474,0.7219,0.33096,1.30296,1.47056,1.77909,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,313.192,1.20427,1.2244,1.48686,0.70663,0.70695,0.7415,0.3352,1.27892,1.4144,1.76337,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,356.629,1.18075,1.18936,1.46445,0.72304,0.66281,0.73156,0.36881,1.26215,1.45668,1.74984,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,399.28,1.18432,1.17787,1.46691,0.70974,0.71741,0.74494,0.33074,1.29192,1.32527,1.76804,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,442.007,1.16572,1.14936,1.45708,0.72866,0.71543,0.76493,0.39518,1.22195,1.26721,1.67502,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,485.917,1.16144,1.13836,1.45485,0.73127,0.71852,0.76898,0.40228,1.20077,1.28128,1.6551,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,528.319,1.14566,1.12039,1.43563,0.71513,0.73057,0.7635,0.37409,1.2909,1.30884,1.71889,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,571.592,1.14102,1.10945,1.44237,0.70682,0.73749,0.75353,0.38392,1.23635,1.26073,1.7367,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,613.518,1.13764,1.10831,1.43962,0.73456,0.73834,0.78204,0.4124,1.20248,1.21485,1.68146,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,657.054,1.12584,1.08049,1.4266,0.75303,0.72328,0.7811,0.40329,1.23173,1.2494,1.71551,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,698.974,1.11944,1.07317,1.42211,0.72748,0.71805,0.76167,0.36583,1.2612,1.21935,1.72612,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,742.34,1.10882,1.06048,1.41513,0.72111,0.73393,0.77096,0.38699,1.2688,1.2527,1.74326,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,784.685,1.10503,1.05332,1.40389,0.72657,0.75262,0.7842,0.41629,1.21041,1.19607,1.65638,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,827.55,1.10884,1.05184,1.41467,0.72837,0.71995,0.75592,0.35482,1.26098,1.25554,1.7565,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,870.206,1.10483,1.0473,1.41074,0.76289,0.72233,0.79031,0.4286,1.19896,1.20197,1.6806,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,912.346,1.09232,1.03212,1.40256,0.72938,0.70647,0.74497,0.34406,1.28624,1.22404,1.74736,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,955.732,1.09285,1.04108,1.4057,0.75013,0.74056,0.79541,0.43198,1.18414,1.18447,1.64673,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,997.671,1.08753,1.02565,1.40225,0.72547,0.71912,0.75185,0.34838,1.26141,1.22709,1.74724,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,1041.27,1.08034,1.01424,1.38964,0.77103,0.7236,0.79096,0.4074,1.2134,1.18344,1.69415,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,1083.69,1.07881,1.01668,1.38295,0.74706,0.7489,0.79795,0.43547,1.19615,1.1588,1.66386,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,1126.7,1.06605,0.99408,1.37339,0.75492,0.73905,0.79494,0.4221,1.21899,1.14373,1.68113,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,1169,1.07251,1.00171,1.383,0.75174,0.72661,0.77687,0.39838,1.23793,1.1591,1.70452,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,1211.16,1.0694,0.99855,1.38146,0.76445,0.73286,0.78773,0.41115,1.19762,1.18051,1.67635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
