epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,52.8897,1.38573,1.95127,1.66373,0.67752,0.7079,0.70346,0.2917,1.29137,1.9705,1.63278,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415
2,97.4933,1.26009,1.46633,1.49072,0.70798,0.71549,0.73766,0.34983,1.25264,1.48849,1.66575,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453
3,144.385,1.26312,1.38942,1.49902,0.61976,0.6137,0.60902,0.18514,1.44524,1.7687,1.9058,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191
4,189.039,1.26008,1.34079,1.51853,0.64215,0.66817,0.67326,0.32396,1.29349,1.74033,1.72368,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,234.461,1.24617,1.29229,1.51392,0.72122,0.71154,0.75916,0.39895,1.24118,1.35689,1.71021,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,276.823,1.22439,1.2553,1.50594,0.63804,0.64018,0.61114,0.18264,1.49396,1.49587,2.01246,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,321.867,1.20268,1.21353,1.4869,0.71631,0.71139,0.74956,0.3592,1.24147,1.37734,1.69691,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,364.459,1.18569,1.18672,1.47298,0.73207,0.69542,0.74867,0.33677,1.28447,1.36985,1.77654,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,409.566,1.1835,1.17249,1.47476,0.71422,0.71933,0.75943,0.38994,1.24138,1.30212,1.69166,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,451.322,1.16622,1.15145,1.46486,0.68054,0.67142,0.67496,0.21517,1.44571,1.37485,1.9293,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,494.571,1.15831,1.13702,1.4569,0.72621,0.7264,0.76114,0.40223,1.20576,1.30804,1.66338,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,538.449,1.14838,1.11809,1.44393,0.74252,0.74104,0.79006,0.41119,1.21889,1.29162,1.66006,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,581.466,1.14152,1.11087,1.4432,0.70392,0.7254,0.75958,0.39193,1.23305,1.28592,1.72009,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,623.967,1.14046,1.10527,1.43976,0.74264,0.73032,0.77956,0.42594,1.19563,1.23249,1.69204,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
